id,time,fav,message,address
user01,2025-05-31 16:39:35,5,今日は良い天気ですね。,all
user02,2025-05-31 16:40:35,2,新しい本を読みました。,all
user03,2025-05-31 16:41:35,10,ランニングしてきました。,all
user04,2025-05-31 16:42:35,3,美味しいラーメンを食べました。,all
user05,2025-05-31 16:43:35,7,旅行に行きたいなぁ。,all
user06,2025-05-31 16:44:35,6,今日は仕事が忙しかった。,all
user07,2025-05-31 16:45:35,1,猫と遊びました。,all
user08,2025-05-31 16:46:35,9,明日が楽しみです。,all
user09,2025-05-31 16:47:35,8,最近早起きしてます。,all
user10,2025-05-31 16:48:35,4,久しぶりに映画を観ました。,all
user11,2025-05-31 16:49:35,2,今日はラッキーなことがあった。,all
user12,2025-05-31 16:50:35,6,勉強が捗った！,all
user13,2025-05-31 16:51:35,5,コーヒーがおいしい。,all
user14,2025-05-31 16:52:35,3,公園でのんびりしてます。,all
user15,2025-05-31 16:53:35,7,料理に挑戦してみた。,all
user16,2025-05-31 16:54:35,1,筋トレ後は気持ちいい。,all
user17,2025-05-31 16:55:35,4,ゲームをクリアしました！,all
user18,2025-05-31 16:56:35,9,新しいアプリを使ってみた。,all
user19,2025-05-31 16:57:35,2,今日の夕焼けがきれいでした。,all
user20,2025-05-31 16:58:35,10,週末の予定を立てています。,all
user21,2025-05-31 16:59:35,6,日記をつけ始めました。,all
user22,2025-05-31 17:00:35,5,明日の会議が不安です。,all
user23,2025-05-31 17:01:35,3,最近DIYにハマってます。,all
user24,2025-05-31 17:02:35,8,早く夏になってほしい！,all
user25,2025-05-31 17:03:35,2,今日も頑張った自分を褒めたい。,all
user26,2025-05-31 17:04:35,7,週末に映画を観る予定。,all
user27,2025-05-31 17:05:35,6,気になる本を見つけました。,all
user28,2025-05-31 17:06:35,1,散歩してリフレッシュ。,all
user29,2025-05-31 17:07:35,4,カフェでゆっくりしてます。,all
user30,2025-05-31 17:08:35,9,今日は良い1日でした。,all